💀,"Skull (I'm dead — extreme laughter, not literal death)",EMOJI,That video was so dumb 💀 I can't breathe.
😭,"Loudly Crying Face (used for laughing hard OR being touched, not sadness)",EMOJI,He tripped over the cat 😭 I'm crying.
🫠,"Melting Face (cringe, embarrassment, ironic self-awareness/acceptance)",EMOJI,Me realizing the meeting was 30 min ago 🫠
✨,"Sparkles (adds emphasis, magic, or sarcasm depending on tone)",EMOJI,Finally cleaned my room and now it's ✨ organized ✨.
🔥,"Fire (this is amazing, attractive, or impressive)",EMOJI,Your new haircut is 🔥.
🧢,Cap (that's a lie / you're exaggerating),EMOJI,You ran a marathon in 20 minutes? 🧢
🚩,Red Flag (a warning sign about someone's behavior),EMOJI,He still lives with his ex 🚩
🩵,"Light Blue Heart (platonic love, calm affection, close friendship)",EMOJI,Love you guys 🩵 best trip ever.
🩷,"Pink Heart (soft, sweet, affectionate — newer alternative to red heart)",EMOJI,Miss you so much 🩷
🩶,"Grey Heart (quiet, understated affection or solidarity)",EMOJI,Sending you strength today 🩶
🖤,"Black Heart (dark humor, edgy affection, or grief)",EMOJI,RIP to my phone screen 🖤
🤍,"White Heart (pure, calm, minimalist affection)",EMOJI,So grateful for this moment 🤍
🫶,Heart Hands (love you / support you / a virtual hug),EMOJI,Congrats on the new job 🫶
🥹,"Face Holding Back Tears (deeply moved, proud, or trying not to cry)",EMOJI,She surprised her mom with tickets home 🥹
🫡,"Saluting Face (respect, deal with it, mission accomplished)",EMOJI,Boss said no meetings Friday 🫡
🗿,"Moai / Stone Face (deadpan, no reaction, based, unbothered)",EMOJI,Someone: are you mad? Me: 🗿
🫨,"Shaking Face (shock, chaos, something wild just happened)",EMOJI,She said WHAT to him 🫨
🫥,"Dotted Line Face (feeling invisible, checked out, or awkwardly silent)",EMOJI,Me in group projects 🫥
🫤,"Face with Diagonal Mouth (meh, unimpressed, unsure)",EMOJI,"Tried the new restaurant, it was 🫤"
😮‍💨,"Face Exhaling (relief, letting go of stress, exasperation)",EMOJI,Finally submitted the report 😮‍💨
😵‍💫,"Face with Spiral Eyes (overwhelmed, dizzy, brain rot)",EMOJI,"Too many tabs open, my brain is 😵‍💫"
🙂‍↔️,"Head Shaking Horizontally (no, awkward denial, side-eye energy)",EMOJI,Do I want to go to work today 🙂‍↔️
🙂‍↕️,"Head Shaking Vertically (forced agreement, fake enthusiasm)",EMOJI,Boss: can you stay late? Me: 🙂‍↕️
🍄‍🟫,"Brown Mushroom (cozy, earthy, cottagecore aesthetic)",EMOJI,"Forest walk today, so 🍄‍🟫 core."
🫩,"Face with Bags Under Eyes (exhausted, sleep-deprived)",EMOJI,Finals week has me looking 🫩
